appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,label
18820,Zero Gear,2010-01-12,1,Brian Cronin,Brian Cronin,windows,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats,Action;Indie;Racing;Sports,Racing;Indie;Action,45,652,173,373,373,100000-200000,3.99,0
19200,Tank Universal,2008-08-21,1,Dialogue Design,Meridian4,windows,0,Single-player;Steam Achievements,Action;Indie,Action;Indie;Tanks,27,226,190,39,63,100000-200000,3.99,0
19320,Space Ark,2012-03-16,1,Strawdog Studios Ltd,Bounce Entertainment ,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;Casual,Action;Casual;Indie,11,6,8,0,0,0-20000,3.99,0
19500,Eternity's Child,2008-07-31,1,Luc Bernard;SilverSphereStudios,Silver Sphere Studios,windows,0,Single-player;Steam Achievements;Partial Controller Support;Includes level editor,Adventure;Indie,Indie;Adventure;Platformer,4,16,47,9,9,0-20000,2.99,0
20200,Galactic Bowling,2008-10-21,1,Perpetual FX Creative,Perpetual FX Creative,windows,0,Single-player;Multi-player;Steam Achievements;Partial Controller Support,Indie;Casual;Sports,Indie;Casual;Sports,30,6,10,0,0,0-20000,13.99,0
20700,Starscape,2008-11-03,1,Moonpod,Moonpod,windows,0,Single-player;Steam Achievements,Action;Indie;Strategy,Action;Indie;Strategy,18,50,15,12,12,0-20000,5.99,0
20710,Mr. Robot,2008-11-03,1,Moonpod,Moonpod,windows,0,Single-player;Steam Achievements,Action;Indie;Strategy,Indie;Strategy;Action,13,55,12,14,14,20000-50000,5.99,0
20820,Shatter,2010-03-15,1,Sidhe,PikPok,windows;mac;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie,Great Soundtrack;Indie;Arcade,30,963,64,31,51,200000-500000,6.99,0
21300,Gravitron 2,2008-09-30,1,Dark Castle Software,Dark Castle Software,windows,0,Single-player;Steam Achievements,Indie;Casual,Arcade,10,19,8,0,0,0-20000,2.99,0
21400,Project Aftermath,2008-10-03,1,Games Faction,Games Faction,windows,0,Single-player;Steam Achievements,Strategy;Action;Indie,Strategy;Indie;Action,92,10,5,0,0,0-20000,4.79,0
22000,World of Goo,2008-10-13,1,2D BOY,2D BOY ,windows;mac;linux,0,Single-player;Steam Achievements,Indie,Puzzle;Indie;Physics,8,3455,237,194,277,1000000-2000000,6.99,0
22100,Mount & Blade,2008-11-03,1,TaleWorlds Entertainment,TaleWorlds Entertainment,windows,0,Single-player;Steam Trading Cards;Includes level editor,Indie;RPG,RPG;Medieval;Open World,0,3205,291,415,597,1000000-2000000,7.99,0
22120,Penumbra: Black Plague Gold Edition,2009-01-23,1,Frictional Games,Frictional Games,windows;mac;linux,0,Single-player;Captions available,Nudity;Gore;Action;Adventure;Indie,Horror;Adventure;First-Person,0,1396,79,188,189,200000-500000,0.0,0
22180,Penumbra Overture,2009-03-06,1,Frictional Games,Frictional Games,windows;mac;linux,0,Single-player;Captions available,Gore;Action;Adventure;Indie,Horror;Adventure;First-Person,0,1660,164,37,43,500000-1000000,0.0,0
22200,Zeno Clash,2009-04-21,1,ACE Team,ACE Team,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Indie,Action;Indie;Surreal,22,1980,356,307,307,200000-500000,6.99,0
22230,Rock of Ages,2011-09-07,1,ACE Team,SEGA,windows,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie;Racing;Strategy,Comedy;Indie;Strategy,19,2604,244,235,231,200000-500000,6.99,0
23150,Fluttabyes,2010-04-20,1,Red Chain Games Ltd.,Red Chain Games Ltd.,windows,0,Single-player;Steam Achievements,Casual;Indie,Indie;Casual,40,13,5,0,0,0-20000,1.59,0
23600,Depths of Peril,2010-11-23,1,Soldak Entertainment,Soldak Entertainment,windows;mac;linux,0,Single-player,Indie;RPG;Strategy,Strategy;RPG;Indie,0,69,24,0,0,20000-50000,6.99,0
24420,Aquaria,2008-12-15,1,Bit Blot, LLC,Bit Blot, LLC,windows;linux,0,Single-player;Steam Achievements;Partial Controller Support,Indie,Metroidvania;Indie;Female Protagonist,27,1008,133,48,64,200000-500000,6.99,0
25000,Overgrowth,2017-10-16,1,Wolfire Games,Wolfire Games,windows;mac;linux,0,Single-player;Partial Controller Support;Includes level editor,Action;Indie,Parkour;Action;Indie,0,3200,1315,777,1365,500000-1000000,22.99,0
25500,Cricket Revolution,2009-10-28,1,Mindstorm Studios,Mindstorm Studios,windows,0,Single-player;Multi-player,Indie;Simulation;Sports,Sports;Simulation;Indie,0,63,50,0,0,20000-50000,1.99,0
25600,Eschalon: Book I,2009-02-10,1,Basilisk Games,Basilisk Games,windows;mac;linux,0,Single-player,Indie;RPG,RPG;Indie;Isometric,0,167,25,0,0,50000-100000,0.0,0
25620,Eschalon: Book II,2010-07-12,1,Basilisk Games,Basilisk Games,windows;mac;linux,0,Single-player,Indie;RPG,RPG;Indie;Isometric,0,58,12,0,0,20000-50000,4.79,0
25700,Madballs in Babo:Invasion ,2009-09-17,1,Playbrains,Playbrains,windows;mac,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Indie,Indie;Action;Shooter,17,198,38,54,54,50000-100000,3.99,0
26000,The Maw,2009-03-09,1,Twisted Pixel Games,Twisted Pixel Games,windows,0,Single-player;Steam Achievements,Action;Indie,Indie;Platformer;Cute,15,161,36,14,14,50000-100000,8.99,0
26300,Drug Wars,2009-03-17,1,Paleo Entertainment,Paleo Entertainment,windows,0,Single-player;Multi-player,Action;Indie,Action;Indie,0,13,31,0,0,0-20000,3.99,0
